,equity
2017-02-28,1155.801883917859
2017-03-01,1176.6781274855164
2017-03-02,1168.8074252787142
2017-03-03,1169.6994284853486
2017-03-06,1164.787026159909
2017-03-07,1165.0233573740509
2017-03-08,1163.8772302206544
2017-03-09,1164.9184121710327
2017-03-10,1165.3190782156432
2017-03-13,1168.2380553987884
2017-03-14,1166.8529789083864
2017-03-15,1173.8876032640842
2017-03-16,1174.4315312002568
2017-03-17,1170.4842301672365
2017-03-20,1167.191186174111
2017-03-21,1160.6959873100225
2017-03-22,1160.601965570796
2017-03-23,1158.309631693196
2017-03-24,1157.2288158122299
2017-03-27,1155.775474912061
2017-03-28,1156.8772433244394
2017-03-29,1157.2844858676776
2017-03-30,1157.5350324636206
2017-03-31,1159.024919542287
2017-04-03,1159.0783130034954
2017-04-04,1165.379317722085
2017-04-05,1164.5960618197946
2017-04-06,1162.4560264764339
2017-04-07,1159.6269347795023
2017-04-10,1163.7647146386635
2017-04-11,1161.2940531808845
2017-04-12,1154.936524960517
2017-04-13,1149.0187787142363
2017-04-17,1153.9500299807157
2017-04-18,1155.5521073828127
2017-04-19,1151.025072581099
2017-04-20,1163.5651466835009
2017-04-21,1165.4340159055616
2017-04-24,1180.360372047987
2017-04-25,1202.9354918449253
2017-04-26,1202.6101710621208
2017-04-27,1201.5566559116692
2017-04-28,1201.9351855198236
2017-05-01,1201.2003947796195
2017-05-02,1203.6733027160008
2017-05-03,1200.4819027373633
2017-05-04,1196.68039415385
2017-05-05,1196.6602524225148
2017-05-08,1199.8105535608202
2017-05-09,1198.5053775010977
2017-05-10,1196.5160667434525
2017-05-11,1192.284729795439
2017-05-12,1191.8965285686324
2017-05-15,1194.0159686194354
2017-05-16,1198.6654224572753
2017-05-17,1182.2505581195192
2017-05-18,1184.6879512125602
2017-05-19,1187.60335236231
2017-05-22,1195.3981215502372
2017-05-23,1198.5747651161907
2017-05-24,1205.380991015499
2017-05-25,1216.9541007131836
2017-05-26,1218.0257142302298
2017-05-30,1219.1996969717527
2017-05-31,1215.3896972979567
2017-06-01,1224.0905937805676
2017-06-02,1233.6892154114983
2017-06-05,1238.066313644769
2017-06-06,1235.9946182418846
2017-06-07,1239.0115786257766
2017-06-08,1238.4093291055462
2017-06-09,1217.9206533912372
2017-06-12,1215.2635744597842
2017-06-13,1217.5541746795107
2017-06-14,1217.3740483792412
2017-06-15,1221.9345960959529
2017-06-16,1231.752070828161
2017-06-19,1237.977894443416
2017-06-20,1232.9867946631425
2017-06-21,1225.8799654549307
2017-06-22,1228.0604583214467
2017-06-23,1226.4885434103808
2017-06-26,1219.0388993452934
2017-06-27,1211.0145669356252
2017-06-28,1216.595312228289
2017-06-29,1204.8942935977366
2017-06-30,1205.6645332560922
2017-07-03,1208.2943525191852
2017-07-05,1212.9535193603108
2017-07-06,1210.3614897620746
2017-07-07,1213.0061420226643
2017-07-10,1211.7170801450586
2017-07-11,1212.4655102857491
2017-07-12,1217.2437403687973
2017-07-13,1215.3775747098261
2017-07-14,1217.7364700934709
2017-07-17,1216.1716018372101
2017-07-18,1222.5036861695805
2017-07-19,1232.858393132643
2017-07-20,1236.5711352710287
2017-07-21,1241.9794780599634
2017-07-24,1245.5379662837067
2017-07-25,1249.8759515898266
2017-07-26,1278.0751071337738
2017-07-27,1286.451834828333
2017-07-28,1293.2952931167642
2017-07-31,1290.2131051812687
2017-08-01,1291.4342448381462
2017-08-02,1290.6543979515116
2017-08-03,1292.5459572038212
2017-08-04,1295.780622221283
2017-08-07,1307.2825607852976
2017-08-08,1303.3797386951962
2017-08-09,1298.9157371619951
2017-08-10,1279.4127549282043
2017-08-11,1275.0805508154262
2017-08-14,1282.0845101547586
2017-08-15,1286.4451713890421
2017-08-16,1287.053846031337
2017-08-17,1274.4134352072242
2017-08-18,1273.6528946943763
2017-08-21,1277.2766221739296
2017-08-22,1289.2162723837378
2017-08-23,1283.9747383020635
2017-08-24,1282.925408342194
2017-08-25,1285.2059423105472
2017-08-28,1289.024986921143
2017-08-29,1294.0486786533215
2017-08-30,1293.370138050241
2017-08-31,1299.1104214074794
2017-09-01,1302.8004739755334
2017-09-05,1295.8802459848112
2017-09-06,1292.4622789819423
2017-09-07,1298.0573880387967
2017-09-08,1293.4161153108305
2017-09-11,1310.2334958879178
2017-09-12,1307.2430365884486
2017-09-13,1304.7972108766264
2017-09-14,1305.1293493287749
2017-09-15,1308.3117466249175
2017-09-18,1309.6350692582791
2017-09-19,1309.566715699674
2017-09-20,1307.842411273424
2017-09-21,1303.5110858563833
